branch_id,time_s,spectral_abscissa_s_inv,numerical_abscissa_s_inv,dominant_frequency_s_inv,dominant_mode_condition_number,dominant_right_constitutive_fraction,dominant_left_constitutive_fraction,adjacent_leader_rotation_deg,adjacent_commutator
onset_x,5e-07,7.014883248746558e-08,105135373948.58408,4.3384776450164194e-14,611.8241863129471,0.9999657531681081,1.0,0.0,0.0
onset_x,5.3125e-07,2.8234127825835183e-07,105135994551.26102,1.1238413771898031e-13,605.2903299905288,0.9999657531905956,0.9999999999999998,0.003324637662029823,5.715769217710799e-11
onset_x,5.625e-07,1.0365271807984057e-06,105136626653.7857,2.9864612390458817e-14,599.7019358788029,0.9999657531651421,1.0,0.004071919972431526,5.716121603025688e-11
onset_x,5.9375e-07,3.5433387219336312e-06,105137270256.11732,3.553333197575675e-14,594.8980276954956,0.9999657531544252,1.0,0.0038749994346269664,5.71648228730447e-11
onset_x,6.25e-07,1.1433519147292262e-05,105137925358.2149,1.1388514607824098e-13,590.7187337318836,0.999965753136928,1.0,0.003529352792353167,5.716851289017335e-11
onset_x,6.562500000000001e-07,3.515851720227897e-05,105138591960.03654,7.840003316789455e-14,587.0421094007245,0.9999657531130753,1.0,0.0031943268666178443,5.717228579407146e-11
onset_x,6.875e-07,0.00010375702386612284,105139270061.54027,8.36315247490319e-15,583.7770495844723,0.999965753082616,1.0,0.0028973540494360702,5.717614177830298e-11
onset_x,7.1875e-07,0.00029544065464888957,105139959662.69211,3.075512328138881e-13,580.8544303225673,0.9999657530461562,0.9999999999999998,0.002638507994228467,5.718008063503378e-11
onset_x,7.5e-07,0.0008151122111193889,105140660763.42232,1.5172250534285993e-13,578.2205543063233,0.9999657530031554,1.0,0.0024128406070181518,5.7184102583799674e-11
onset_x,7.8125e-07,0.002186388957800083,105141373363.7137,9.1301058766679e-13,1301.8961839390577,0.999965752954829,0.9999999999999998,0.0022152027216666677,5.718820791250565e-11
onset_x,8.125000000000001e-07,0.0057174436003829,105142097463.52156,5.605133133178733e-13,657.6090198006738,0.9999657528988832,1.0,0.0020411728147860454,5.719239963646924e-11
onset_x,8.437500000000001e-07,0.014609633151627681,105142833062.78241,2.2734708400779483e-13,582.3166959840819,0.9999657528363122,1.0,0.0018871190490998384,5.7196695234269827e-11
onset_x,8.750000000000001e-07,0.036549423438088036,105143580161.45773,5.806650390832929e-14,571.5781350987273,0.9999657527670975,1.0,0.001750078332016049,5.7201195011171325e-11
onset_x,9.062500000000001e-07,0.08966882531666402,105144338759.49356,6.369680987336584e-13,572.034588560057,0.9999657526912868,1.0000000000000004,0.0016276334164565273,5.72064533564706e-11
onset_x,9.375000000000001e-07,0.2160417640064902,105145108856.82054,6.404486311041705e-14,566.5880329455254,0.9999657526088114,1.0,0.0015178966947868196,5.721543352712209e-11
onset_x,9.6875e-07,0.5118030487482449,105145890453.37099,5.235686091653881e-13,565.1643778955171,0.9999657525197423,1.0000000000000004,0.0014199200350427691,5.724349072429196e-11
onset_x,1e-06,1.1934466268857107,105146683548.92831,5.870248179841379e-13,564.0711457788963,0.999965752424015,1.0,0.0013365572152110366,5.736783108735893e-11
onset_x,1.0625e-06,6.211553595746697,105148304234.38019,2.9184522167176582e-12,561.3295974803216,0.9999657522125829,1.0,0.0026537814812188578,1.1822335915959924e-10
onset_x,1.125e-06,30.654156118716475,105149970910.15822,3.531472384715832e-13,559.1737563711238,0.9999657519720601,1.0000000000000004,0.0059637819963394775,1.8111825154481307e-10
onset_x,1.1875e-06,144.18639354266094,105151683528.21187,4.043725849938499e-14,557.2522029697819,0.9999657516507287,1.0,0.02666859032071888,6.456454927567461e-10
onset_x,1.25e-06,649.4231466183887,105153441903.5109,1.6520613068069566e-12,555.4323968026565,0.9999657501952447,0.9999999999999996,0.11198060668725747,2.7599875223469742e-09
onset_x,1.3125000000000001e-06,2812.7881827848014,105155245221.12836,1.0001166561579566e-12,552.9524649902186,0.999965726478042,0.9999999999999916,0.34135507638965706,1.150180029968283e-08
onset_x,1.375e-06,11718.143252882484,105157089977.12622,1.813445445844227e-12,548.802786941571,0.9999652914300632,0.999999999999853,0.5317185936576595,4.614996249626987e-08
onset_x,1.4375e-06,46698.29432789427,105158961941.7557,9.529122622766337e-11,545.4719469941139,0.9999583064060334,0.9999999999973379,0.3917923632642975,1.777327271495278e-07
onset_x,1.5e-06,175866.81404038702,105160805602.32224,8.588573369134804e-11,544.0861246485609,0.9998599394464462,0.999999999878322,0.46823998795221916,6.479362547864381e-07
onset_x,1.5625e-06,597423.991496068,105162418514.85753,3.380741608174645e-11,543.7127269091719,0.9987460832719366,0.999999987494596,1.4152248106041323,2.121297094990576e-06
