run_id,evaluation,theta_rad,phi_rad,log_k,n1,n2,n3,k_m_inv,log_gain
rate_5e3_T293__onset__start1,1,1.5707958300310227,-1.5756231351551035,10.844415565253392,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,3.886664093665861
rate_5e3_T293__onset__start1,2,0.5999908074321633,-1.5756231351551035,10.844415565253392,-0.0027253738075336026,-0.5646283089762406,0.8253408053890466,51247.16432640491,3.7449497678366566
rate_5e3_T293__onset__start1,3,0.9708055193627332,-1.5756231351551035,10.844415565253392,-0.003983746430489918,-0.8253311909800922,0.5646348864175504,51247.16432640491,3.8124705082219585
rate_5e3_T293__onset__start1,4,1.1999816148643265,-1.5756231351551035,10.844415565253392,-0.0044987244265919935,-0.9320215665518119,0.3623748900804803,51247.16432640491,3.8540897834401964
rate_5e3_T293__onset__start1,5,1.3416202312933032,-1.5756231351551035,10.844415565253392,-0.0047005878754000216,-0.9738425517794259,0.22717523812546525,51247.16432640491,3.873500838650026
rate_5e3_T293__onset__start1,6,1.4291577103659199,-1.5756231351551035,10.844415565253392,-0.004778454191222386,-0.9899744769147816,0.1411655107767015,51247.16432640491,3.8815247915006066
rate_5e3_T293__onset__start1,7,1.4832588477222797,-1.5756231351551035,10.844415565253392,-0.004808308037468265,-0.9961594364515808,0.08742572471696057,51247.16432640491,3.8846843001522924
rate_5e3_T293__onset__start1,8,1.5166951894385368,-1.5756231351551035,10.844415565253392,-0.004819727495389783,-0.9985252584161968,0.0540747494838181,51247.16432640491,3.8859054015908514
rate_5e3_T293__onset__start1,9,1.5373599850786395,-1.5756231351551035,10.844415565253392,-0.004824091720312154,-0.999429415097786,0.03343011182110186,51247.16432640491,3.8863739355197433
rate_5e3_T293__onset__start1,10,1.5501315311547936,-1.5756231351551035,10.844415565253392,-0.004825759053237926,-0.9997748441790288,0.02066332491054402,51247.16432640491,3.886553209960501
rate_5e3_T293__onset__start1,11,1.5580247807187424,-1.5756231351551035,10.844415565253392,-0.004826395968425898,-0.9999067968471553,0.012771198879420183,51247.16432640491,3.8866217320976064
rate_5e3_T293__onset__start1,12,1.562903077230948,-1.5756231351551035,10.844415565253392,-0.004826639255774256,-0.9999571998134267,0.007893167601504682,51247.16432640491,3.8866479118538844
rate_5e3_T293__onset__start1,13,1.565918030282691,-1.5756231351551035,10.844415565253392,-0.004826732184351152,-0.9999764522569204,0.0048782771634600566,51247.16432640491,3.8866579125984244
rate_5e3_T293__onset__start1,14,1.5677813737431534,-1.5756231351551035,10.844415565253392,-0.004826767680066405,-0.9999838060685787,0.003014948484120609,51247.16432640491,3.886661732684111
rate_5e3_T293__onset__start1,15,1.568932983334434,-1.5756231351551035,10.844415565253392,-0.004826781238246142,-0.9999866149794431,0.0018633423821927916,51247.16432640491,3.8866631918475862
rate_5e3_T293__onset__start1,16,1.5696447172036159,-1.5756231351551035,10.844415565253392,-0.004826786417013326,-0.999987687888616,0.001151609336735768,51247.16432640491,3.886663749201445
rate_5e3_T293__onset__start1,17,1.5700845929257148,-1.5756231351551035,10.844415565253392,-0.004826788395126859,-0.9999880977035545,0.0007117338090919139,51247.16432640491,3.886663962092124
rate_5e3_T293__onset__start1,18,1.5703564510727976,-1.5756231351551035,10.844415565253392,-0.004826789150699067,-0.9999882542389468,0.00043987570791366947,51247.16432640491,3.8866640434091955
rate_5e3_T293__onset__start1,19,1.5705244686478135,-1.5756231351551035,10.844415565253392,-0.00482678943930198,-0.9999883140301482,0.0002718581437344463,51247.16432640491,3.8866640744695595
rate_5e3_T293__onset__start1,20,1.5706283092198807,-1.5756231351551035,10.844415565253392,-0.004826789549538485,-0.9999883368683553,0.00016801757422537424,51247.16432640491,3.8866640863335533
rate_5e3_T293__onset__start1,21,1.570694975889032,-1.5756231351551035,10.844415565253392,-0.004826789592877985,-0.9999883458472004,0.00010135090569104297,51247.16432640491,3.8866640909978933
rate_5e3_T293__onset__start1,22,1.570694975889032,-0.7416294238611401,10.844415565253392,0.737368874291191,-0.6754902907922036,0.00010135090569104297,51247.16432640491,3.7327938406428554
rate_5e3_T293__onset__start1,23,1.570694975889032,0.7416294238611394,10.844415565253392,0.7373688742911915,0.675490290792203,0.00010135090569104295,51247.16432640491,3.743134910241366
rate_5e3_T293__onset__start1,24,1.570694975889032,1.6583338058675128,10.844415565253392,-0.087425724267941,0.9961710357484903,0.00010135090569104297,51247.16432640491,3.8814523507739622
rate_5e3_T293__onset__start1,25,1.570694975889032,2.224888271583419,10.844415565253392,-0.6084388578539172,0.7936007472157615,0.00010135090569104297,51247.16432640491,3.7418773762719053
rate_5e3_T293__onset__start1,26,1.570694975889032,1.4816760210351505,10.844415565253392,0.08900238019430719,0.9960314081632877,0.00010135090569104295,51247.16432640491,3.8823872261792736
rate_5e3_T293__onset__start1,27,1.570694975889032,1.5574668231291937,10.844415565253392,0.013329108879339907,0.9999111583458186,0.00010135090569104295,51247.16432640491,3.886621565351361
rate_5e3_T293__onset__start1,28,1.570694975889032,1.5656410925238686,10.844415565253392,0.005155211409951771,0.9999867066733,0.00010135090569104295,51247.16432640491,3.8866640937456087
rate_5e3_T293__onset__start1,29,1.570694975889032,1.5658649931709052,10.844415565253392,0.004931313611951113,0.9999878358630442,0.00010135090569104297,51247.16432640491,3.886664106223366
rate_5e3_T293__onset__start1,30,1.570694975889032,1.5657982799084393,10.844415565253392,0.004998026051884444,0.9999875046537224,0.00010135090569104295,51247.16432640491,3.8866641089357863
rate_5e3_T293__onset__start1,31,1.570694975889032,1.5657315666469633,10.844415565253392,0.005064738468583403,0.999987168993802,0.00010135090569104295,51247.16432640491,3.886664106189921
rate_5e3_T293__onset__start1,32,1.570694975889032,1.5657982799084393,8.342310205260866,0.004998026051884444,0.9999875046537224,0.00010135090569104295,4197.776273049276,3.884219573227685
rate_5e3_T293__onset__start1,33,1.570694975889032,1.5657982799084393,9.973010023033673,0.004998026051884444,0.9999875046537224,0.00010135090569104295,21439.92298441949,3.886486728004289
rate_5e3_T293__onset__start1,34,1.570694975889032,1.5657982799084393,10.980837935865528,0.004998026051884444,0.9999875046537224,0.00010135090569104295,58737.752128584805,3.886680847606598
rate_5e3_T293__onset__start1,35,1.570694975889032,1.5657982799084393,10.689088384080193,0.004998026051884444,0.9999875046537224,0.00010135090569104295,43874.4920757552,3.886659108414124
rate_5e3_T293__onset__start1,36,1.570694975889032,1.5657982799084393,11.060864504453317,0.004998026051884444,0.9999875046537224,0.00010135090569104295,63631.53784283426,3.8866613355887454
rate_5e3_T293__onset__start1,37,1.570694975889032,1.5657982799084393,10.878474634026698,0.004998026051884444,0.9999875046537224,0.00010135090569104295,53022.6592415043,3.886664187214779
rate_5e3_T293__onset__start1,38,1.570694975889032,1.5657982799084393,10.96616269598012,0.004998026051884444,0.9999875046537224,0.00010135090569104295,57882.05565828783,3.8866711746573595
rate_5e3_T293__onset__start1,39,1.570694975889032,1.5657982799084393,11.01140536506304,0.004998026051884444,0.9999875046537224,0.00010135090569104295,60560.937291448674,3.8866596559799995
rate_5e3_T293__onset__start1,40,1.570694975889032,1.5657982799084393,10.992513654870272,0.004998026051884444,0.9999875046537224,0.00010135090569104295,59427.576880863366,3.8866587553668035
rate_5e3_T293__onset__start1,41,1.570694975889032,1.5657982799084393,10.97523249302236,0.004998026051884444,0.9999875046537224,0.00010135090569104295,58409.42209361833,3.8866844038124078
rate_5e3_T293__onset__start1,42,1.570694975889032,1.5657982799084393,10.975811085661286,0.004998026051884444,0.9999875046537224,0.00010135090569104295,58443.22713401628,3.886684433995535
rate_5e3_T293__onset__start1,43,1.570694975889032,1.5657982799084393,10.975712757939569,0.004998026051884444,0.9999875046537224,0.00010135090569104295,58437.48082715762,3.886684436447499
rate_5e3_T293__onset__start1,44,1.570694975889032,1.5657982799084393,10.97564608932545,0.004998026051884444,0.9999875046537224,0.00010135090569104295,58433.58501116403,3.8866844363598823
rate_5e3_T293__onset__start1,45,1.5706443856088648,3.141592653589793,11.041573828511932,-0.999999988456938,1.2246467850111793e-16,0.00015194118544722892,62415.806308815656,3.885666266356726
rate_5e3_T293__onset__start1,46,0.5999908074321633,1.5657982799084393,10.975712757939569,0.0028220598866118382,0.5646278340090544,0.8253408053890466,58437.48082715762,3.744805280884126
rate_5e3_T293__onset__start1,47,0.9708055193627332,1.5657982799084393,10.975712757939569,0.004125074868204141,0.8253304967087861,0.5646348864175504,58437.48082715762,3.8123750129814504
rate_5e3_T293__onset__start1,48,1.1999816148643265,1.5657982799084393,10.975712757939569,0.004658322359344674,0.9320207825322118,0.3623748900804803,58437.48082715762,3.85405408045262
rate_5e3_T293__onset__start1,49,1.3416202312933032,1.5657982799084393,10.975712757939569,0.004867347169034834,0.9738417325798758,0.22717523812546525,58437.48082715762,3.8734970180485275
rate_5e3_T293__onset__start1,50,1.4291577103659199,1.5657982799084393,10.975712757939569,0.0049479758907878335,0.989973644145003,0.14116551077670147,58437.48082715762,3.881535403479287
rate_5e3_T293__onset__start1,51,1.4832588477222797,1.5657982799084393,10.975712757939569,0.00497888883994684,0.996158598478994,0.08742572471696056,58437.48082715762,3.8847010235517216
rate_5e3_T293__onset__start1,52,1.5166951894385368,1.5657982799084393,10.975712757939569,0.004990713417565546,0.9985244184534728,0.0540747494838181,58437.48082715762,3.8859243923803852
rate_5e3_T293__onset__start1,53,1.5373599850786395,1.5657982799084393,10.975712757939569,0.00499523246888083,0.9994285743744825,0.03343011182110186,58437.48082715762,3.88639376863741
rate_5e3_T293__onset__start1,54,1.5501315311547936,1.5657982799084393,10.975712757939569,0.004996958952548664,0.9997740031651493,0.020663324910544022,58437.48082715762,3.8865733605139927
rate_5e3_T293__onset__start1,55,1.5580247807187424,1.5657982799084393,10.975712757939569,0.004997618463107613,0.9999059557222767,0.012771198879420183,58437.48082715762,3.8866420032251203
rate_5e3_T293__onset__start1,56,1.562903077230948,1.5657982799084393,10.975712757939569,0.004997870381382023,0.999956358646149,0.007893167601504682,58437.48082715762,3.8866682289353345
rate_5e3_T293__onset__start1,57,1.565918030282691,1.5657982799084393,10.975712757939569,0.0049979666067175915,0.9999756110734475,0.0048782771634600566,58437.48082715762,3.886678247217825
rate_5e3_T293__onset__start1,58,1.5677813737431534,1.5657982799084393,10.975712757939569,0.004998003361688189,0.9999829648789197,0.003014948484120609,58437.48082715762,3.8866820740002015
rate_5e3_T293__onset__start1,59,1.568932983334434,1.5657982799084393,10.975712757939569,0.004998017400861481,0.9999857737874212,0.0018633423821927913,58437.48082715762,3.886683535721286
rate_5e3_T293__onset__start1,60,1.5696447172036159,1.5657982799084393,10.975712757939569,0.004998022763351974,0.9999868466956916,0.001151609336735768,58437.48082715762,3.886684094052016
rate_5e3_T293__onset__start1,61,1.5700845929257148,1.5657982799084393,10.975712757939569,0.004998024811641583,0.9999872565102853,0.0007117338090919139,58437.48082715762,3.8866843073158055
rate_5e3_T293__onset__start1,62,1.5703564510727976,1.5657982799084393,10.975712757939569,0.004998025594018671,0.999987413045546,0.00043987570791366947,58437.48082715762,3.886684388775397
rate_5e3_T293__onset__start1,63,1.5705244686478135,1.5657982799084393,10.975712757939569,0.004998025892860136,0.9999874728366971,0.0002718581437344463,58437.48082715762,3.886684419890206
rate_5e3_T293__onset__start1,64,1.5706283092198807,1.5657982799084393,10.975712757939569,0.004998026007007421,0.999987495674885,0.00016801757422537424,58437.48082715762,3.88668443177499
rate_5e3_T293__onset__start1,65,1.5706949758875361,-0.7416294238611403,10.975712757939569,0.7373688742911907,-0.6754902907922036,0.00010135090718695746,58437.48082715762,3.7326724075506044
rate_5e3_T293__onset__start1,66,1.5706949758875361,0.7416294238611396,10.975712757939569,0.7373688742911911,0.6754902907922031,0.00010135090718695746,58437.48082715762,3.743014365140972
rate_5e3_T293__onset__start1,67,1.5706949758875361,1.658333805867513,10.975712757939569,-0.08742572426794121,0.9961710357484901,0.00010135090718695746,58437.48082715762,3.8814704865666054
