horizon_id,selector_id,refinement_per_reference_interval,segment_count,piecewise_frozen_log_gain,time_ordered_reference_log_gain,absolute_log_gain_error,same_input_selector,same_output_selector,same_norm,freeze_rule
onset,constitutive_to_temperature,1,23,-0.0005778965668700699,-3.776021412778176e-05,0.0005401363527422882,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_temperature,2,46,-0.000365473902981509,-3.776021412778176e-05,0.00032771368885372725,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_temperature,4,92,-0.00021600996659968584,-3.776021412778176e-05,0.00017824975247190408,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_temperature,8,184,-0.00013048409325303216,-3.776021412778176e-05,9.27238791252504e-05,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_temperature,16,368,-8.502530729437633e-05,-3.776021412778176e-05,4.7265093166594565e-05,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_full,1,128,13.484083475361707,13.367806429460348,0.11627704590135934,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_full,2,256,13.42642440489705,13.367806429460348,0.058617975436702,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_full,4,512,13.397175011108924,13.367806429460348,0.029368581648576253,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_full,8,1024,13.382454718293609,13.367806429460348,0.014648288833260636,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_full,16,2048,13.375071806671492,13.367806429460348,0.007265377211144397,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_constitutive,1,128,13.477037321892297,13.362185806582685,0.11485151530961168,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_constitutive,2,256,13.420145337705167,13.362185806582685,0.05795953112248142,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_constitutive,4,512,13.39122076289529,13.362185806582685,0.02903495631260533,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_constitutive,8,1024,13.376648278651423,13.362185806582685,0.014462472068737853,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_constitutive,16,2048,13.369333129802184,13.362185806582685,0.007147323219498958,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_constitutive,1,128,13.476276933548306,13.36179355142128,0.11448338212702502,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_constitutive,2,256,13.419572476014238,13.36179355142128,0.05777892459295764,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_constitutive,4,512,13.390740832866253,13.36179355142128,0.028947281444972717,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_constitutive,8,1024,13.37621255381355,13.36179355142128,0.014419002392269675,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,full_to_constitutive,16,2048,13.368918555508962,13.36179355142128,0.0071250040876815746,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_full,1,128,13.47724033203105,13.362397381421063,0.11484295060998662,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_full,2,256,13.420352835629275,13.362397381421063,0.05795545420821213,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_full,4,512,13.391430258046343,13.362397381421063,0.02903287662527987,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_full,8,1024,13.376858686230664,13.362397381421063,0.014461304809600506,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_full,16,2048,13.369544029525118,13.362397381421063,0.0071466481040545204,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_mechanical,1,128,9.573810471689564,9.583251636746697,0.009441165057133105,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_mechanical,2,256,9.578573728189632,9.583251636746697,0.00467790855706518,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_mechanical,4,512,9.58092297160368,9.583251636746697,0.0023286651430165506,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_mechanical,8,1024,9.582089989645866,9.583251636746697,0.0011616471008313312,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_mechanical,16,2048,9.58267146396152,9.583251636746697,0.000580172785177524,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_constitutive,1,128,8.999733074559423,8.982941053351597,0.016792021207825414,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_constitutive,2,256,9.08216685986401,8.982941053351597,0.09922580651241297,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_constitutive,4,512,9.055889270905034,8.982941053351597,0.07294821755343683,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_constitutive,8,1024,9.029044085029406,8.982941053351597,0.04610303167780927,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,mechanical_to_constitutive,16,2048,9.012319002494914,8.982941053351597,0.02937794914331704,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_temperature,1,128,9.754892623019156,9.636462544540082,0.11843007847907394,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_temperature,2,256,9.696153618133035,9.636462544540082,0.059691073592953,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_temperature,4,512,9.666362827168115,9.636462544540082,0.02990028262803257,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_temperature,8,1024,9.651373297478106,9.636462544540082,0.014910752938023464,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
terminal,constitutive_to_temperature,16,2048,9.643856373491394,9.636462544540082,0.007393828951311576,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
