case_id,shear,time_s,cauchy_shear_Pa,first_piola_shear_Pa,temperature_K,temperature_rise_K,plastic_work_J_m3,generated_heat_J_m3,stored_energy_J_m3
baseline_search,0.005,5e-07,176010149.9999999,176010149.9999999,293.15,0.0,2.2671941815995502e-10,2.040474763439595e-10,2.2671941815995496e-11
baseline_search,0.00625,6.25e-07,220019824.21873915,220019824.21873915,293.15,0.0,6.098449635929929e-08,5.488604672336937e-08,6.098449635929929e-09
baseline_search,0.0075,7.5e-07,264034256.24894693,264034256.24894693,293.1500000000027,2.7284841053187847e-12,7.224264434241591e-06,6.501837990817432e-06,7.224264434241589e-07
baseline_search,0.00875,8.750000000000001e-07,308054397.5990849,308054397.5990849,293.15000000017517,1.751914169290103e-10,0.0004629621279686508,0.00041666591517178567,4.629621279686507e-05
baseline_search,0.01,1e-06,352081197.8568863,352081197.8568863,293.1500000075731,7.57313500798773e-09,0.020009080552090257,0.018008172496881233,0.0020009080552090253
baseline_search,0.0125,1.25e-06,440156997.9514352,440156997.9514352,293.1500072738549,7.273854919276346e-06,19.2182586408699,17.29643277678291,1.9218258640869896
baseline_search,0.015,1.5e-06,527784167.18815434,527784167.18815434,293.15268315039623,0.0026831503962512215,7089.154066282923,6380.238659654631,708.9154066282921
baseline_search,0.0175,1.7500000000000002e-06,575433970.6307694,575433970.6307694,293.401328403279,0.2513284032790466,664034.9995134093,597631.4995620684,66403.49995134091
baseline_search,0.02,2e-06,565661704.2636716,565661704.2636716,294.00336753233546,0.8533675323354828,2254683.1218683245,2029214.8096814917,225468.3121868324
baseline_search,0.0275,2.75e-06,551581760.8320327,551581760.8320327,295.6762110517827,2.5262110517826954,6674504.483600452,6007054.035240407,667450.4483600449
baseline_search,0.035,3.5000000000000004e-06,545089029.2915714,545089029.2915714,297.2759741291368,4.125974129136807,10901239.943792373,9811115.949413141,1090123.9943792373
baseline_search,0.0425,4.25e-06,541005050.0959636,541005050.0959636,298.84672161127247,5.696721611272494,15051313.273856478,13546181.94647082,1505131.327385647
baseline_search,0.05,5e-06,538105973.4994398,538105973.4994398,300.4006853353636,7.250685335363642,19157042.221751858,17241337.99957667,1915704.222175185
baseline_search,0.0625,6.25e-06,534469690.05179554,534469690.05179554,302.9685085501929,9.818508550192917,25941490.238624386,23347341.21476192,2594149.0238624387
baseline_search,0.07500000000000001,7.500000000000001e-06,532065137.5625549,532065137.5625549,305.51556595208865,12.365565952088673,32671072.882536963,29403965.59428326,3267107.2882536952
baseline_search,0.08750000000000001,8.750000000000001e-06,530230844.96142405,530230844.96142405,308.0493694120995,14.899369412099531,39365637.27471991,35429073.54724792,3936563.727471987
baseline_search,0.1,1e-05,528752001.52072436,528752001.52072436,310.57332348652005,17.423323486520076,46034178.59640988,41430760.7367689,4603417.85964099
baseline_search,0.125,1.25e-05,526655124.46849895,526655124.46849895,315.59791042564575,22.447910425645773,59309644.250701,53378679.825630896,5930964.425070098
baseline_search,0.15000000000000002,1.5000000000000002e-05,524710674.6774519,524710674.6774519,320.6019776572926,27.451977657292616,72530894.76747419,65277805.29072674,7253089.476747404
baseline_search,0.17500000000000002,1.7500000000000002e-05,523045272.4791722,523045272.4791722,325.58779810083234,32.43779810083237,85703935.42904,77133541.88613595,8570393.542903986
baseline_search,0.2,2e-05,521476128.6302318,521476128.6302318,330.55786750912654,37.40786750912656,98835360.26626869,88951824.23964189,9883536.026626844
baseline_search,0.275,2.75e-05,516839616.8800423,516839616.8800423,345.38034856435894,52.23034856435896,137997850.74441373,124198065.6699723,13799785.074441373
baseline_search,0.35,3.5e-05,511651510.4667494,511651510.4667494,360.0717677680496,66.92176776804962,176814062.5871579,159132656.32844186,17681406.25871577
baseline_search,0.425,4.2499999999999996e-05,506501473.71014404,506501473.71014404,374.61927108038833,81.46927108038835,215250034.1244043,193725030.7119633,21525003.412440363
baseline_search,0.5,5e-05,501035614.3786416,501035614.3786416,389.0154200805963,95.86542008059632,253286112.29794183,227957501.06814685,25328611.229794122
baseline_search,0.625,6.25e-05,491450348.3897095,491450348.3897095,412.65229311668406,119.50229311668409,315737115.7270952,284163404.15438485,31573711.5727095
baseline_search,0.75,7.5e-05,481563120.0345922,481563120.0345922,435.825178485272,142.675178485272,376962216.924181,339265995.2317622,37696221.69241802
baseline_search,0.875,8.75e-05,471619689.3234935,471619689.3234935,458.5257103796535,165.37571037965353,436939312.58379704,393245381.32541794,43693931.25837955
baseline_search,1.0,0.0001,461777797.41869026,461777797.41869026,480.75521524539414,187.60521524539416,495671907.30896366,446104716.57806873,49567190.73089622
baseline_search,1.1,0.00011,453994658.7777749,453994658.7777749,498.20476359421946,205.05476359421948,541775374.6375703,487597837.1738151,54177537.46375681
baseline_search,1.2,0.00011999999999999999,446401825.27028453,446401825.27028453,515.3628580375907,222.21285803759076,587108791.3414121,528397912.2072721,58710879.13414096
baseline_search,1.2999999999999998,0.00013,438985455.175839,438985455.175839,532.2360866228837,239.08608662288373,631689563.7063621,568520607.3357273,63168956.37063602
baseline_search,1.4,0.00014,431755551.7377945,431755551.7377945,548.8313948242254,255.68139482422544,675536042.375836,607982438.1382538,67553604.23758349
rate_5e3_T293,0.005,1e-06,176010149.99999988,176010149.99999988,293.15,0.0,4.5343883631991005e-10,4.08094952687919e-10,4.534388363199099e-11
rate_5e3_T293,0.00625,1.25e-06,220019824.21872827,220019824.21872827,293.15000000000003,5.684341886080802e-14,1.2196899271859863e-07,1.0977209344673879e-07,1.2196899271859862e-08
rate_5e3_T293,0.0075,1.5e-06,264034256.2478939,264034256.2478939,293.15000000000543,5.4569682106375694e-12,1.4448528868469675e-05,1.3003675981622709e-05,1.4448528868469672e-06
rate_5e3_T293,0.00875,1.7500000000000002e-06,308054397.5419197,308054397.5419197,293.1500000003504,3.504396772768814e-10,0.0009259242558642653,0.0008333318302778388,9.259242558642652e-05
rate_5e3_T293,0.01,2e-06,352081195.7137726,352081195.7137726,293.1500000151463,1.514632685939432e-08,0.04001816095122298,0.03601634485610068,0.004001816095122296
rate_5e3_T293,0.0125,2.5e-06,440155402.1894596,440155402.1894596,293.15001454753315,1.4547533169206872e-05,38.436050484038816,34.592445435634936,3.8436050484038806
rate_5e3_T293,0.015,3e-06,527298004.8566362,527298004.8566362,293.15534473236596,0.005344732365983873,14121.322173440694,12709.189956096627,1412.1322173440692
rate_5e3_T293,0.0175,3.5000000000000004e-06,562201459.3358876,562201459.3358876,293.47649798301165,0.3264979830116772,862640.6134830853,776376.5521347767,86264.06134830849
rate_5e3_T293,0.02,4e-06,552619583.9570806,552619583.9570806,294.0633413394004,0.9133413394004037,2413139.971255976,2171825.974130379,241313.99712559755
rate_5e3_T293,0.0275,5.5e-06,539464602.3818159,539464602.3818159,295.6935172134092,2.5435172134092454,6720229.108741934,6048206.197867744,672022.9108741932
rate_5e3_T293,0.035,7.000000000000001e-06,533218135.58256865,533218135.58256865,297.25700744377446,4.107007443774478,10851128.047401188,9766015.242661072,1085112.8047401188
rate_5e3_T293,0.0425,8.5e-06,529253989.090037,529253989.090037,298.7930160796797,5.6430160796797395,14909417.840711808,13418476.05664063,1490941.7840711817
rate_5e3_T293,0.05,1e-05,526425685.35930717,526425685.35930717,300.3129344019798,7.1629344019798395,18925195.40202792,17032675.861825142,1892519.5402027953
rate_5e3_T293,0.0625,1.25e-05,522839886.0740657,522839886.0740657,302.8248784741872,9.67487847418721,25562005.086107094,23005804.57749639,2556200.508610714
rate_5e3_T293,0.07500000000000001,1.5000000000000002e-05,520470629.0699978,520470629.0699978,305.31652948089936,12.166529480899385,32145198.443656992,28930678.59929131,3214519.844365705
rate_5e3_T293,0.08750000000000001,1.7500000000000002e-05,518654638.17644995,518654638.17644995,307.7952146053595,14.645214605359513,38694134.63209067,34824721.16888159,3869413.4632090703
rate_5e3_T293,0.1,2e-05,517183940.6302079,517183940.6302079,310.26420889420524,17.114208894205262,45217466.65506524,40695719.989558704,4521746.665506526
rate_5e3_T293,0.125,2.5e-05,515095375.1583259,515095375.1583259,315.1790465248363,22.029046524836303,58202963.56303866,52382667.20673477,5820296.356303861
rate_5e3_T293,0.15000000000000002,3.0000000000000004e-05,513189075.3892445,513189075.3892445,320.0730770508473,26.923077050847326,71133486.00125152,64020137.401126415,7113348.6001251545
rate_5e3_T293,0.17500000000000002,3.5000000000000004e-05,511489952.3030495,511489952.3030495,324.9490605131353,31.799060513135316,84016326.27622949,75614693.64860645,8401632.627622947
rate_5e3_T293,0.2,4e-05,509828413.7160231,509828413.7160231,329.80932381019545,36.659323810195474,96857632.28857273,87171869.05971552,9685763.228857294
rate_5e3_T293,0.275,5.5e-05,505066291.81360304,505066291.81360304,344.2991518560905,51.1491518560905,135141219.95266515,121627097.9573986,13514121.995266521
rate_5e3_T293,0.35,7e-05,499655948.7982306,499655948.7982306,358.6543304030849,65.50433040308491,173069050.0550544,155762145.04954916,17306905.005505458
rate_5e3_T293,0.425,8.499999999999999e-05,494357925.59537274,494357925.59537274,372.8608483878029,79.71084838780291,210604103.95263982,189543693.557376,21060410.395263992
rate_5e3_T293,0.5,0.0001,488745148.1945614,488745148.1945614,386.91158993769403,93.76158993769405,247727580.7921832,222954822.71296445,24772758.079218328
rate_5e3_T293,0.625,0.000125,478924900.7497401,478924900.7497401,409.9631847022476,116.81318470224761,308632219.9756631,277768997.97809696,30863221.997566372
rate_5e3_T293,0.75,0.00015,468820396.1499905,468820396.1499905,432.53946344522507,139.3894634452251,368281026.2726168,331452923.6453555,36828102.62726169
rate_5e3_T293,0.875,0.000175,458679873.8766927,458679873.8766927,454.6330272114113,161.4830272114113,426654450.89683676,383989005.807153,42665445.08968356
rate_5e3_T293,1.0,0.0002,448662275.92492765,448662275.92492765,476.2462402259651,183.09624022596512,483758740.3697346,435382866.3327632,48375874.03697359
rate_5e3_T293,1.1,0.00022,440772956.77903664,440772956.77903664,493.1966426219734,200.04664262197343,528543413.7291311,475689072.3562199,52854341.372913286
rate_5e3_T293,1.2,0.00023999999999999998,433067956.2596814,433067956.2596814,509.85091761892426,216.70091761892428,572545688.6221224,515291119.7599117,57254568.86221231
rate_5e3_T293,1.2999999999999998,0.00026,425551574.79342985,425551574.79342985,526.2160562100627,233.0660562100627,615784035.958227,554205632.3624036,61578403.59582253
