parameter,horizon_id,d_log_gain_d_log_parameter,d_log_k_d_log_parameter,maximum_direction_change_deg
rho_mobile_0,onset,-0.7828277905376514,-0.0014122335310521078,0.00012341976538421222
rho_mobile_0,terminal,-0.9184670740895339,-0.08257832680329119,0.0013663099472823353
K_Lambda,onset,-0.009030086652248236,-5.643804055776232e-05,6.722620413208828e-06
K_Lambda,terminal,1.516356552488045,-0.029002453052160145,0.003142891086213625
ell_N,onset,-1.652298706542036e-08,2.249091507493154e-06,0.0002971622922958119
ell_N,terminal,-6.577881522912342e-06,-1.4804522388648888e-05,0.0007663440099067919
ell_chi,onset,-0.00023751001566457217,-0.3294364084683755,0.00021676941303719062
ell_chi,terminal,-0.021410391797288538,-0.055025211457138054,0.0007641670007623326
