horizon_id,time_s,norm_id,selector_id,n1,n2,n3,k_m_inv,reference_log_gain,reference_gain,wavenumber_interior,boundary_classification
onset,1.4375e-06,baseline,full_to_full,0.0,0.0,1.0,299999.9999999999,9.683020551501777,16042.882167015427,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,baseline,constitutive_to_constitutive,0.0049949714977768475,0.9999875199159888,0.00010135090718695746,71848.05580700038,0.6217170382103192,1.8621226341580954,True,interior_finite_band_candidate
onset,1.4375e-06,baseline,full_to_constitutive,0.00478305988512584,0.9999885585532123,7.14199134359179e-05,105245.11810250205,0.637338309579811,1.8914397462603982,True,interior_finite_band_candidate
onset,1.4375e-06,baseline,constitutive_to_full,-0.001992968457839082,0.9999980089003777,0.00010135090661341625,2041.361867278389,1.8808004965708631,6.558753020646641,True,interior_finite_band_candidate
onset,1.4375e-06,baseline,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.68302049489072,16042.881258810934,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,baseline,mechanical_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,-0.9707595861506177,0.37879520121001975,True,interior_finite_band_candidate
onset,1.4375e-06,baseline,constitutive_to_temperature,0.005039507470694957,0.9999872964655333,0.00010135090718695746,8893.640081294103,-3.776021412778176e-05,0.9999622404987801,True,interior_finite_band_candidate
onset,1.4375e-06,mechanical_x0.5,full_to_full,0.0,0.0,1.0,299999.9999999999,9.68302072133469,16042.884891625084,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,mechanical_x0.5,constitutive_to_constitutive,0.0049949714977768475,0.9999875199159888,0.00010135090718695746,71848.05580700038,0.6217170382103192,1.8621226341580954,True,interior_finite_band_candidate
onset,1.4375e-06,mechanical_x0.5,full_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,0.6254027228601126,1.868998494309324,True,interior_finite_band_candidate
onset,1.4375e-06,mechanical_x0.5,constitutive_to_full,-0.00210162273738339,0.9999977864524807,0.00010135091865112035,2026.775483038242,2.5923474945207623,13.361099926143694,True,interior_finite_band_candidate
onset,1.4375e-06,mechanical_x0.5,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.68302049489072,16042.881258810934,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,mechanical_x0.5,mechanical_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,-1.6639067667105631,0.18939760060500987,True,interior_finite_band_candidate
onset,1.4375e-06,mechanical_x0.5,constitutive_to_temperature,0.005039507470694957,0.9999872964655333,0.00010135090718695746,8893.640081294103,-3.776021412778176e-05,0.9999622404987801,True,interior_finite_band_candidate
onset,1.4375e-06,thermal_x0.5,full_to_full,0.0,0.0,1.0,299999.9999999999,9.683020551501777,16042.882167015427,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,thermal_x0.5,constitutive_to_constitutive,0.004998751582105246,0.9999875010271949,0.00010135090718695746,62861.708861979496,0.6219366143637427,1.8625315567764915,True,interior_finite_band_candidate
onset,1.4375e-06,thermal_x0.5,full_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,0.6379529113361657,1.8926025857554833,True,interior_finite_band_candidate
onset,1.4375e-06,thermal_x0.5,constitutive_to_full,-0.0019925826769637673,0.9999980096691546,0.00010135089975223799,2041.4029233903138,1.8807283651665152,6.558279945642479,True,interior_finite_band_candidate
onset,1.4375e-06,thermal_x0.5,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.68302049489072,16042.881258810934,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,thermal_x0.5,mechanical_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,-0.9695949442100612,0.37923661898516303,True,interior_finite_band_candidate
onset,1.4375e-06,thermal_x0.5,constitutive_to_temperature,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,0.0016977487943967877,1.0016991907858122,True,interior_finite_band_candidate
onset,1.4375e-06,dislocation_x2,full_to_full,0.0,0.0,1.0,299999.9999999999,9.683020551501777,16042.882167015427,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,dislocation_x2,constitutive_to_constitutive,0.0050023439372759515,0.9999874830632266,0.00010135090718695746,62926.873287928494,1.0928893821765202,2.982880314429889,True,interior_finite_band_candidate
onset,1.4375e-06,dislocation_x2,full_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,1.100092502687883,3.0044439302318358,True,interior_finite_band_candidate
onset,1.4375e-06,dislocation_x2,constitutive_to_full,-0.0020420661694130417,0.9999979098446924,0.00010135090718695747,2068.355767517555,1.8943091550792952,6.647954112512202,True,interior_finite_band_candidate
