horizon_id,norm_id,selector_id,n1,n2,n3,k_m_inv,reference_log_gain,reference_gain,previous_v3_reference_log_gain,direct_reference_log_gain_improvement,local_stationarity_pass,wavenumber_interior
onset,all_constitutive_x2,constitutive_to_constitutive,0.004192946774845538,0.999991205869068,8.591781336058526e-05,54550.4255834816,0.6219422324144918,1.8625420206026924,0.6217170382103192,0.00022519420417255187,True,True
onset,all_constitutive_x2,constitutive_to_full,0.5233411887919746,0.5251000568742161,0.6711064970513233,21315.05081667147,2.9692938288588957,19.478159823876485,2.5923474945207623,0.3769463343381334,True,True
onset,all_constitutive_x2,constitutive_to_temperature,0.0,0.0,1.0,299.99999999999994,0.00063970767657686,1.0006399123331704,-3.776021412778176e-05,0.0006774678907046417,True,False
onset,all_constitutive_x2,full_to_constitutive,-0.06392988594077599,-0.9751481820999236,0.21212965995073313,18285.392935599306,0.630113808215788,1.8778242789344723,0.6254027228601126,0.004711085355675437,True,True
onset,all_constitutive_x2,full_to_full,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.770384843184184,17507.503565481715,9.68302072133469,0.08736412184949316,True,True
onset,all_constitutive_x2,mechanical_to_constitutive,-0.019171160167850095,-0.9847561708870931,0.17288074073652338,18358.680985724604,-1.2724798203230026,0.28013607259029855,-1.6639067667105631,0.3914269463875606,True,True
onset,all_constitutive_x2,mechanical_to_mechanical,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.77038462725364,17507.499785077343,9.68302049489072,0.08736413236291973,True,True
onset,baseline,constitutive_to_constitutive,0.004192946774845538,0.999991205869068,8.591781336058526e-05,54550.4255834816,0.6219422324144918,1.8625420206026924,0.6217170382103192,0.00022519420417255187,True,True
onset,baseline,constitutive_to_full,0.4780182017323019,0.4792622668355386,0.7360749135789626,20334.56622073354,2.278484340292991,9.761873512906737,1.8808004965708631,0.39768384372212773,True,True
onset,baseline,constitutive_to_temperature,0.0,0.0,1.0,299.99999999999994,0.00063970767657686,1.0006399123331704,-3.776021412778176e-05,0.0006774678907046417,True,False
onset,baseline,full_to_constitutive,-0.06392988594077599,-0.9751481820999236,0.21212965995073313,18322.000316649108,0.6552624402712303,1.925647818603575,0.637338309579811,0.017924130691419293,True,True
