horizon_id,norm_id,selector_id,winner_branch,winner_log_gain,runner_up_log_gap
near_onset,plastic_kinematic_x2,full_to_constitutive,onset_y,0.3321038356526327,0.0009268728695377981
near_onset,plastic_kinematic_x2,constitutive_to_full,terminal_y,2.869805289829736,0.38726237397601393
near_onset,plastic_kinematic_x2,mechanical_to_mechanical,onset_y,7.57152609535827,0.5673216438047088
near_onset,plastic_kinematic_x2,mechanical_to_constitutive,onset_y,-1.6627371007687013,0.02959824107032971
near_onset,plastic_kinematic_x2,constitutive_to_temperature,terminal_y,0.00012954319863989867,0.004518173478207657
near_onset,all_constitutive_x0.5,full_to_full,onset_y,7.571526437714112,0.567320446558095
near_onset,all_constitutive_x0.5,constitutive_to_constitutive,onset_y,0.6213909671573791,0.0004910483100373231
near_onset,all_constitutive_x0.5,full_to_constitutive,onset_y,0.6839466087924272,0.004676777338370686
near_onset,all_constitutive_x0.5,constitutive_to_full,terminal_y,1.5070673584994865,0.3430854202700273
near_onset,all_constitutive_x0.5,mechanical_to_mechanical,onset_y,7.57152609535827,0.5673216438047088
near_onset,all_constitutive_x0.5,mechanical_to_constitutive,onset_y,-0.27761240559067246,0.029562653423754748
near_onset,all_constitutive_x0.5,constitutive_to_temperature,terminal_y,0.0001293381967534091,0.004517990376991079
near_onset,all_constitutive_x2,full_to_full,onset_y,7.571531570989158,0.567302496085067
near_onset,all_constitutive_x2,constitutive_to_constitutive,onset_y,0.6213909671573791,0.0004910483100373231
near_onset,all_constitutive_x2,full_to_constitutive,onset_y,0.6254027228601126,0.0007670189840245367
near_onset,all_constitutive_x2,constitutive_to_full,terminal_y,2.869805289829737,0.38173451208374365
near_onset,all_constitutive_x2,mechanical_to_mechanical,onset_y,7.57152609535827,0.5673216438047088
near_onset,all_constitutive_x2,mechanical_to_constitutive,onset_y,-1.6639067667105631,0.029562653423754748
near_onset,all_constitutive_x2,constitutive_to_temperature,terminal_y,0.0001293381967534091,0.004517990376991079
terminal,baseline,full_to_full,terminal_y,13.367806429460348,3.4284029104736184
terminal,baseline,constitutive_to_constitutive,terminal_y,13.367382415788443,3.427982810704341
terminal,baseline,full_to_constitutive,terminal_y,13.367623251153798,3.42822359174221
terminal,baseline,constitutive_to_full,terminal_y,13.367565594093975,3.4281621294475606
terminal,baseline,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,baseline,mechanical_to_constitutive,terminal_y,9.548377933972303,7.6265224656993595
terminal,baseline,constitutive_to_temperature,terminal_y,9.636462544540082,5.255487964887767
terminal,mechanical_x0.5,full_to_full,terminal_y,13.368174946421483,3.428759889673662
terminal,mechanical_x0.5,constitutive_to_constitutive,terminal_y,13.367382415788443,3.427982810704341
terminal,mechanical_x0.5,full_to_constitutive,terminal_y,13.367442635505968,3.428043016839995
terminal,mechanical_x0.5,constitutive_to_full,terminal_y,13.368114726702938,3.4286996835483325
terminal,mechanical_x0.5,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,mechanical_x0.5,mechanical_to_constitutive,terminal_y,8.855230753412357,7.6265224656993595
terminal,mechanical_x0.5,constitutive_to_temperature,terminal_y,9.636462544540082,5.255487964887767
terminal,mechanical_x2,full_to_full,terminal_y,13.368390862880272,3.4289900755741005
terminal,mechanical_x2,constitutive_to_constitutive,terminal_y,13.367382415788443,3.427982810704341
terminal,mechanical_x2,full_to_constitutive,terminal_y,13.368345062011056,3.428945239617038
terminal,mechanical_x2,constitutive_to_full,terminal_y,13.36742821665664,3.4280276466791673
terminal,mechanical_x2,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,mechanical_x2,mechanical_to_constitutive,terminal_y,10.241525114532248,7.6265224656993595
terminal,mechanical_x2,constitutive_to_temperature,terminal_y,9.636462544540082,5.255487964887767
terminal,thermal_x0.5,full_to_full,terminal_y,13.368632848235368,3.4292668853378423
terminal,thermal_x0.5,constitutive_to_constitutive,terminal_y,13.368209133113035,3.428847083953862
terminal,thermal_x0.5,full_to_constitutive,terminal_y,13.368449985099328,3.429087881606076
terminal,thermal_x0.5,constitutive_to_full,terminal_y,13.368391996248064,3.429026087697446
terminal,thermal_x0.5,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,thermal_x0.5,mechanical_to_constitutive,terminal_y,9.549239165268917,7.627360575217695
terminal,thermal_x0.5,constitutive_to_temperature,terminal_y,10.3295749154153,5.255612274117312
terminal,thermal_x2,full_to_full,terminal_y,13.367728645653314,3.4280922040044874
terminal,thermal_x2,constitutive_to_constitutive,terminal_y,13.367304619302816,3.4276720915752783
terminal,thermal_x2,full_to_constitutive,terminal_y,13.36754538834635,3.427912806317254
terminal,thermal_x2,constitutive_to_full,terminal_y,13.367487876608775,3.427851489274328
terminal,thermal_x2,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,thermal_x2,mechanical_to_constitutive,terminal_y,9.548162394161066,7.626312706497462
terminal,thermal_x2,constitutive_to_temperature,terminal_y,8.943454578489822,5.254991209634008
terminal,dislocation_x0.5,full_to_full,terminal_y,12.675524655417828,3.4289927749961624
terminal,dislocation_x0.5,constitutive_to_constitutive,terminal_y,12.674379107381062,3.42785130378728
terminal,dislocation_x0.5,full_to_constitutive,terminal_y,12.675341477102222,3.4288134563181387
terminal,dislocation_x0.5,constitutive_to_full,terminal_y,12.674562285692673,3.4280306225343935
terminal,dislocation_x0.5,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,dislocation_x0.5,mechanical_to_constitutive,terminal_y,9.548378031900876,7.626522477303399
terminal,dislocation_x0.5,constitutive_to_temperature,terminal_y,8.943460627396748,5.254832448348077
terminal,dislocation_x2,full_to_full,terminal_y,14.060737024201117,3.4282552338667003
terminal,dislocation_x2,constitutive_to_constitutive,terminal_y,14.060493621849634,3.428015704663604
terminal,dislocation_x2,full_to_constitutive,terminal_y,14.060553845896854,3.4280759151270814
terminal,dislocation_x2,constitutive_to_full,terminal_y,14.060676800153642,3.4281950234058343
terminal,dislocation_x2,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,dislocation_x2,mechanical_to_constitutive,terminal_y,9.548377909490156,7.626522462798349
terminal,dislocation_x2,constitutive_to_temperature,terminal_y,10.329573402650711,5.255652037978284
terminal,plastic_kinematic_x0.5,full_to_full,terminal_y,14.060599195067933,3.4280661475081295
terminal,plastic_kinematic_x0.5,constitutive_to_constitutive,terminal_y,14.060312538367281,3.4277805100431866
terminal,plastic_kinematic_x0.5,full_to_constitutive,terminal_y,14.060553374451924,3.428021291799368
terminal,plastic_kinematic_x0.5,constitutive_to_full,terminal_y,14.060358358983036,3.4278253657549307
terminal,plastic_kinematic_x0.5,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,plastic_kinematic_x0.5,mechanical_to_constitutive,terminal_y,10.241309550228308,7.626312703586148
terminal,plastic_kinematic_x0.5,constitutive_to_temperature,terminal_y,9.636461031880806,5.255527715719817
terminal,plastic_kinematic_x2,full_to_full,terminal_y,12.676074423122028,3.4297474753038735
terminal,plastic_kinematic_x2,constitutive_to_constitutive,terminal_y,12.675102539111382,3.4287910830557937
terminal,plastic_kinematic_x2,full_to_constitutive,terminal_y,12.675343371599547,3.4290318612203645
terminal,plastic_kinematic_x2,constitutive_to_full,terminal_y,12.675833590629848,3.4295066971845944
terminal,plastic_kinematic_x2,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,plastic_kinematic_x2,mechanical_to_constitutive,terminal_y,8.856092082469011,7.627360586657245
terminal,plastic_kinematic_x2,constitutive_to_temperature,terminal_y,9.636468595131422,5.255328995558886
terminal,all_constitutive_x0.5,full_to_full,terminal_y,13.368390862880272,3.4289900755741005
terminal,all_constitutive_x0.5,constitutive_to_constitutive,terminal_y,13.367382415788443,3.427982810704341
terminal,all_constitutive_x0.5,full_to_constitutive,terminal_y,13.368345062011056,3.428945239617038
terminal,all_constitutive_x0.5,constitutive_to_full,terminal_y,13.36742821665664,3.4280276466791673
terminal,all_constitutive_x0.5,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,all_constitutive_x0.5,mechanical_to_constitutive,terminal_y,10.241525114532248,7.6265224656993595
terminal,all_constitutive_x0.5,constitutive_to_temperature,terminal_y,9.636462544540082,5.255487964887767
terminal,all_constitutive_x2,full_to_full,terminal_y,13.368174946421483,3.428759889673662
terminal,all_constitutive_x2,constitutive_to_constitutive,terminal_y,13.367382415788443,3.427982810704341
terminal,all_constitutive_x2,full_to_constitutive,terminal_y,13.367442635505968,3.428043016839995
terminal,all_constitutive_x2,constitutive_to_full,terminal_y,13.368114726702938,3.4286996835483325
terminal,all_constitutive_x2,mechanical_to_mechanical,onset_x,6.873816979797368,0.03933527122810965
terminal,all_constitutive_x2,mechanical_to_constitutive,terminal_y,8.855230753412357,7.6265224656993595
terminal,all_constitutive_x2,constitutive_to_temperature,terminal_y,9.636462544540082,5.255487964887767
