branch_id,horizon_id,time_s,norm_id,selector_id,input_dimension,output_dimension,log_gain
onset_x,near_onset,1.4375e-06,plastic_kinematic_x0.5,constitutive_to_temperature,63,1,-0.0043886576554055855
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,full_to_full,69,69,7.004229073706333
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,constitutive_to_constitutive,63,63,0.3254268140648976
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,full_to_constitutive,69,63,0.3311769627830949
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,constitutive_to_full,63,69,2.3990464093964188
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,mechanical_to_constitutive,6,63,-1.6986868484644477
onset_x,near_onset,1.4375e-06,plastic_kinematic_x2,constitutive_to_temperature,63,1,-0.004388630279567758
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,full_to_full,69,69,7.004205991156017
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,constitutive_to_constitutive,63,63,0.6208999188473417
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,full_to_constitutive,69,63,0.6792698314540565
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,constitutive_to_full,63,69,1.0710573848662515
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,mechanical_to_constitutive,6,63,-0.31358551755617226
onset_x,near_onset,1.4375e-06,all_constitutive_x0.5,constitutive_to_temperature,63,1,-0.00438865218023767
onset_x,near_onset,1.4375e-06,all_constitutive_x2,full_to_full,69,69,7.004229074904091
onset_x,near_onset,1.4375e-06,all_constitutive_x2,constitutive_to_constitutive,63,63,0.6208999188473417
onset_x,near_onset,1.4375e-06,all_constitutive_x2,full_to_constitutive,69,63,0.624635703876088
onset_x,near_onset,1.4375e-06,all_constitutive_x2,constitutive_to_full,63,69,2.3990464093964188
onset_x,near_onset,1.4375e-06,all_constitutive_x2,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,all_constitutive_x2,mechanical_to_constitutive,6,63,-1.699879878676063
onset_x,near_onset,1.4375e-06,all_constitutive_x2,constitutive_to_temperature,63,1,-0.00438865218023767
onset_x,terminal,0.00014,baseline,full_to_full,69,69,6.873879205416063
onset_x,terminal,0.00014,baseline,constitutive_to_constitutive,63,63,0.9020389991070371
onset_x,terminal,0.00014,baseline,full_to_constitutive,69,63,0.9020389993205453
onset_x,terminal,0.00014,baseline,constitutive_to_full,63,69,2.3831565697177814
onset_x,terminal,0.00014,baseline,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,baseline,mechanical_to_constitutive,6,63,-8.917717417746859
onset_x,terminal,0.00014,baseline,constitutive_to_temperature,63,1,0.7495224820522519
onset_x,terminal,0.00014,mechanical_x0.5,full_to_full,69,69,6.874065835821216
onset_x,terminal,0.00014,mechanical_x0.5,constitutive_to_constitutive,63,63,0.9020389991070371
onset_x,terminal,0.00014,mechanical_x0.5,full_to_constitutive,69,63,0.9020389991604143
onset_x,terminal,0.00014,mechanical_x0.5,constitutive_to_full,63,69,3.0724752291982163
onset_x,terminal,0.00014,mechanical_x0.5,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,mechanical_x0.5,mechanical_to_constitutive,6,63,-9.610864598306804
onset_x,terminal,0.00014,mechanical_x0.5,constitutive_to_temperature,63,1,0.7495224820522519
onset_x,terminal,0.00014,mechanical_x2,full_to_full,69,69,6.873832536928065
onset_x,terminal,0.00014,mechanical_x2,constitutive_to_constitutive,63,63,0.9020389991070371
onset_x,terminal,0.00014,mechanical_x2,full_to_constitutive,69,63,0.9020389999610665
onset_x,terminal,0.00014,mechanical_x2,constitutive_to_full,63,69,1.7052089238801955
onset_x,terminal,0.00014,mechanical_x2,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,mechanical_x2,mechanical_to_constitutive,6,63,-8.224570237186914
onset_x,terminal,0.00014,mechanical_x2,constitutive_to_temperature,63,1,0.7495224820522519
onset_x,terminal,0.00014,thermal_x0.5,full_to_full,69,69,6.873879205416063
onset_x,terminal,0.00014,thermal_x0.5,constitutive_to_constitutive,63,63,1.4345632267574642
onset_x,terminal,0.00014,thermal_x0.5,full_to_constitutive,69,63,1.4345632287623489
onset_x,terminal,0.00014,thermal_x0.5,constitutive_to_full,63,69,2.3831565697182233
onset_x,terminal,0.00014,thermal_x0.5,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,thermal_x0.5,mechanical_to_constitutive,6,63,-8.23122151293188
onset_x,terminal,0.00014,thermal_x0.5,constitutive_to_temperature,63,1,1.431101252652743
onset_x,terminal,0.00014,thermal_x2,full_to_full,69,69,6.873879205416063
onset_x,terminal,0.00014,thermal_x2,constitutive_to_constitutive,63,63,0.8930504931822133
onset_x,terminal,0.00014,thermal_x2,full_to_constitutive,69,63,0.8930504932136613
onset_x,terminal,0.00014,thermal_x2,constitutive_to_full,63,69,2.383156569717688
onset_x,terminal,0.00014,thermal_x2,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,thermal_x2,mechanical_to_constitutive,6,63,-9.584666097714065
